,Y
0.0,1
0.20202020202020202,1
0.40404040404040403,1
0.6060606060606061,1
0.8080808080808081,1
1.0101010101010102,1
1.2121212121212122,1
1.4141414141414141,1
1.6161616161616161,1
1.8181818181818181,1
2.0202020202020203,1
2.2222222222222223,1
2.4242424242424243,1
2.6262626262626263,1
2.8282828282828283,1
3.0303030303030303,1
3.2323232323232323,1
3.4343434343434343,1
3.6363636363636362,1
3.8383838383838382,1
4.040404040404041,1
4.242424242424242,1
4.444444444444445,1
4.646464646464646,1
4.848484848484849,1
5.05050505050505,1
5.252525252525253,1
5.454545454545454,1
5.656565656565657,1
5.858585858585858,1
6.0606060606060606,1
6.262626262626262,1
6.4646464646464645,1
6.666666666666667,1
6.8686868686868685,1
7.070707070707071,1
7.2727272727272725,1
7.474747474747475,1
7.6767676767676765,1
7.878787878787879,1
8.080808080808081,1
8.282828282828282,1
8.484848484848484,1
8.686868686868687,1
8.88888888888889,1
9.09090909090909,1
9.292929292929292,1
9.494949494949495,1
9.696969696969697,1
9.8989898989899,1
10.1010101010101,3
10.303030303030303,3
10.505050505050505,3
10.707070707070708,3
10.909090909090908,3
11.11111111111111,3
11.313131313131313,3
11.515151515151516,3
11.717171717171716,3
11.919191919191919,3
12.121212121212121,3
12.323232323232324,3
12.525252525252524,3
12.727272727272727,3
12.929292929292929,3
13.131313131313131,3
13.333333333333334,3
13.535353535353535,3
13.737373737373737,3
13.93939393939394,3
14.141414141414142,3
14.343434343434343,3
14.545454545454545,3
14.747474747474747,3
14.94949494949495,3
15.15151515151515,3
15.353535353535353,3
15.555555555555555,3
15.757575757575758,3
15.959595959595958,3
16.161616161616163,3
16.363636363636363,3
16.565656565656564,3
16.767676767676768,3
16.96969696969697,3
17.171717171717173,3
17.373737373737374,3
17.575757575757574,3
17.77777777777778,3
17.97979797979798,3
18.18181818181818,3
18.383838383838384,3
18.585858585858585,3
18.78787878787879,3
18.98989898989899,3
19.19191919191919,3
19.393939393939394,3
19.595959595959595,3
19.7979797979798,3
20.0,3
