,Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_Length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,Preceeding,Following,Space_Hdwy,Time_Hdwy
983946,2669,7515,947,1118847730400,5.516,31.328000000000003,6451143.078,1873355.2959999999,14.0,4.9,2,20.27,0.0,1,2658,0,67.4,3.33
983947,2669,7516,947,1118847730500,5.502999999999999,33.827,6451144.757999999,1873353.445,14.0,4.9,2,20.27,0.0,1,2658,0,66.41,3.28
983948,2669,7517,947,1118847730600,5.49,36.328,6451146.438999999,1873351.594,14.0,4.9,2,20.27,0.0,1,2658,0,65.4,3.23
983949,2669,7518,947,1118847730700,5.477,38.827,6451148.119,1873349.743,14.0,4.9,2,20.27,0.0,1,2658,0,64.41,3.18
983950,2669,7519,947,1118847730800,5.4670000000000005,40.827,6451149.4629999995,1873348.2619999999,14.0,4.9,2,20.27,0.0,1,2658,0,63.92,3.15
983951,2669,7520,947,1118847730900,5.456,42.869,6451150.828,1873346.759,14.0,4.9,2,20.27,-4.81,1,2658,0,63.39,3.13
983952,2669,7521,947,1118847731000,5.447,44.836999999999996,6451152.152000001,1873345.3,14.0,4.9,2,19.97,-0.28,1,2658,0,62.88,3.15
983953,2669,7522,947,1118847731100,5.437,46.83,6451153.496,1873343.8190000001,14.0,4.9,2,19.96,0.2,1,2658,0,62.19,3.12
983954,2669,7523,947,1118847731200,5.4270000000000005,48.824,6451154.84,1873342.3380000002,14.0,4.9,2,20.0,0.51,1,2658,0,61.39,3.07
983955,2669,7524,947,1118847731300,5.415,50.82899999999999,6451156.185,1873340.858,14.0,4.9,2,20.03,0.21,1,2658,0,60.43,3.02
983956,2669,7525,947,1118847731400,5.405,52.847,6451157.529,1873339.3769999999,14.0,4.9,2,19.92,-1.84,1,2658,0,59.4,2.98
983957,2669,7526,947,1118847731500,5.395,54.857,6451158.892999999,1873337.874,14.0,4.9,2,19.5,-6.18,1,2658,0,58.38,2.99
983958,2669,7527,947,1118847731600,5.422999999999999,56.808,6451160.187000001,1873336.392,14.0,4.9,2,18.66,-10.9,1,2658,0,57.42,3.08
983959,2669,7528,947,1118847731700,5.428,58.615,6451161.4,1873335.034,14.0,4.9,2,17.5,-11.2,1,2658,0,56.62,3.24
983960,2669,7529,947,1118847731800,5.404,60.308,6451162.54,1873333.801,14.0,4.9,2,16.34,-10.89,1,2658,0,55.92,3.42
983961,2669,7530,947,1118847731900,5.359,61.858000000000004,6451163.597999999,1873332.6909999999,14.0,4.9,2,15.5,-6.2,1,2658,0,55.37,3.57
983962,2669,7531,947,1118847732000,5.351,63.347,6451164.587,1873331.602,14.0,4.9,2,15.08,-1.87,1,2658,0,54.88,3.64
983963,2669,7532,947,1118847732100,5.343,64.829,6451165.595,1873330.4919999999,14.0,4.9,2,14.96,0.19,1,2658,0,54.4,3.64
983964,2669,7533,947,1118847732200,5.336,66.325,6451166.602999999,1873329.381,14.0,4.9,2,14.98,0.28,1,2658,0,53.91,3.6
983965,2669,7534,947,1118847732300,5.329,67.825,6451167.6110000005,1873328.27,14.0,4.9,2,15.02,0.28,1,2658,0,53.41,3.56
983966,2669,7535,947,1118847732400,5.321000000000001,69.329,6451168.619,1873327.16,14.0,4.9,2,15.04,0.19,1,2658,2674,52.9,3.52
983967,2669,7536,947,1118847732500,5.313,70.847,6451169.628,1873326.049,14.0,4.9,2,14.92,-1.87,1,2658,2674,52.39,3.51
983968,2669,7537,947,1118847732600,5.305,72.358,6451170.656,1873324.917,14.0,4.9,2,14.5,-6.2,1,2658,2674,51.89,3.58
983969,2669,7538,947,1118847732700,5.335,73.808,6451171.614,1873323.805,14.0,4.9,2,13.66,-10.89,1,2658,2674,51.44,3.77
983970,2669,7539,947,1118847732800,5.343999999999999,75.115,6451172.49,1873322.8169999998,14.0,4.9,2,12.5,-11.2,1,2658,2674,51.09,4.09
983971,2669,7540,947,1118847732900,5.3229999999999995,76.309,6451173.294,1873321.9540000001,14.0,4.9,2,11.34,-10.91,1,2658,2674,50.77,4.48
983972,2669,7541,947,1118847733000,5.279,77.358,6451174.017000001,1873321.2140000002,14.0,4.9,2,10.5,-6.21,1,2658,2674,50.56,4.82
983973,2669,7542,947,1118847733100,5.274,78.347,6451174.669,1873320.496,14.0,4.9,2,10.07,-1.87,1,2658,2674,50.4,5.01
983974,2669,7543,947,1118847733200,5.269,79.329,6451175.341,1873319.756,14.0,4.9,2,9.96,0.21,1,2658,2674,50.25,5.05
983975,2669,7544,947,1118847733300,5.263999999999999,80.325,6451176.012999999,1873319.015,14.0,4.9,2,9.98,0.27,1,2658,2674,50.06,5.02
983976,2669,7545,947,1118847733400,5.2589999999999995,81.327,6451176.685,1873318.275,14.0,4.9,2,10.0,0.0,1,2658,2674,49.76,4.98
983977,2669,7546,947,1118847733500,5.254,82.32700000000001,6451177.357000001,1873317.534,14.0,4.9,2,10.0,0.0,1,2658,2674,49.33,4.93
983978,2669,7547,947,1118847733600,5.247999999999999,83.32700000000001,6451178.03,1873316.794,14.0,4.9,2,10.0,0.0,1,2658,2674,48.78,4.88
983979,2669,7548,947,1118847733700,5.242999999999999,84.32700000000001,6451178.7020000005,1873316.054,14.0,4.9,2,10.0,0.0,1,2658,2674,48.09,4.81
983980,2669,7549,947,1118847733800,5.2379999999999995,85.32700000000001,6451179.374,1873315.313,14.0,4.9,2,10.0,0.0,1,2658,2674,47.32,4.73
983981,2669,7550,947,1118847733900,5.233,86.32700000000001,6451180.046,1873314.573,14.0,4.9,2,10.0,0.0,1,2658,2674,46.53,4.65
983982,2669,7551,947,1118847734000,5.228,87.32700000000001,6451180.717999999,1873313.832,14.0,4.9,2,10.0,0.0,1,2658,2674,45.75,4.58
983983,2669,7552,947,1118847734100,5.223,88.32700000000001,6451181.39,1873313.092,14.0,4.9,2,10.0,0.0,1,2658,2674,44.98,4.5
983984,2669,7553,947,1118847734200,5.218,89.33,6451182.062000001,1873312.351,14.0,4.9,2,9.97,-0.5,1,2658,2674,44.21,4.43
983985,2669,7554,947,1118847734300,5.212000000000001,90.329,6451182.735,1873311.611,14.0,4.9,2,9.88,-1.22,1,2658,2674,43.44,4.4
983986,2669,7555,947,1118847734400,5.207000000000001,91.31,6451183.407000001,1873310.871,14.0,4.9,2,9.79,-0.97,1,2658,2674,42.69,4.36
983987,2669,7556,947,1118847734500,5.202000000000001,92.277,6451184.079,1873310.13,14.0,4.9,2,9.76,0.19,1,2658,2674,41.95,4.3
983988,2669,7557,947,1118847734600,5.2139999999999995,93.245,6451184.751,1873309.39,14.0,4.9,2,9.83,1.44,1,2658,2674,41.18,4.19
983989,2669,7558,947,1118847734700,5.227,94.235,6451185.4229999995,1873308.649,14.0,4.9,2,9.94,1.21,1,2658,2674,40.39,4.06
983990,2669,7559,947,1118847734800,5.239,95.25399999999999,6451186.095,1873307.909,14.0,4.9,2,9.9,-1.58,1,2658,2674,39.63,4.0
983991,2669,7560,947,1118847734900,5.251,96.266,6451186.7870000005,1873307.1469999999,14.0,4.9,2,9.5,-6.16,1,2658,2674,38.98,4.1
983992,2669,7561,947,1118847735000,5.301,97.21700000000001,6451187.409,1873306.406,14.0,4.9,2,8.66,-10.88,1,2658,2674,38.5,4.45
983993,2669,7562,947,1118847735100,5.3260000000000005,98.024,6451187.95,1873305.7869999998,14.0,4.9,2,7.5,-11.2,1,2658,2674,38.21,5.09
983994,2669,7563,947,1118847735200,5.319,98.719,6451188.418,1873305.295,14.0,4.9,2,6.32,-11.16,1,2658,2674,38.05,6.02
983995,2669,7564,947,1118847735300,5.287999999999999,99.264,6451188.804,1873304.925,14.0,4.9,2,5.47,-6.33,1,2658,2674,38.01,6.95
983996,2669,7565,947,1118847735400,5.294,99.73899999999999,6451189.12,1873304.5769999998,14.0,4.9,2,5.14,-0.22,1,2658,2674,37.98,7.39
983997,2669,7566,947,1118847735500,5.2989999999999995,100.21700000000001,6451189.436000001,1873304.229,14.0,4.9,2,5.35,4.74,1,2658,2674,37.87,7.08
983998,2669,7567,947,1118847735600,5.292999999999999,100.766,6451189.807999999,1873303.8380000002,14.0,4.9,2,5.84,5.97,1,2658,2674,37.65,6.45
983999,2669,7568,947,1118847735700,5.314,101.4,6451190.228999999,1873303.355,14.0,4.9,2,6.23,2.69,1,2658,2674,37.38,6.0
984000,2669,7569,947,1118847735800,5.322,102.072,6451190.699,1873302.8380000002,14.0,4.9,2,6.23,-2.68,1,2658,2674,37.16,5.96
984001,2669,7570,947,1118847735900,5.343,102.704,6451191.12,1873302.355,14.0,4.9,2,5.86,-5.7,1,2658,2674,37.03,6.32
984002,2669,7571,947,1118847736000,5.337000000000001,103.257,6451191.492000001,1873301.9640000002,14.0,4.9,2,5.39,-4.55,1,2658,2674,36.99,6.86
984003,2669,7572,947,1118847736100,5.3420000000000005,103.75399999999999,6451191.808999999,1873301.615,14.0,4.9,2,5.07,-1.65,1,2658,2674,37.0,7.3
984004,2669,7573,947,1118847736200,5.348,104.23899999999999,6451192.145,1873301.245,14.0,4.9,2,4.97,0.12,1,2658,2674,37.01,7.45
984005,2669,7574,947,1118847736300,5.354,104.734,6451192.481000001,1873300.875,14.0,4.9,2,4.98,0.26,1,2658,2674,37.01,7.43
984006,2669,7575,947,1118847736400,5.36,105.236,6451192.817000001,1873300.505,14.0,4.9,2,5.0,0.0,1,2658,2674,37.01,7.4
984007,2669,7576,947,1118847736500,5.3660000000000005,105.736,6451193.153,1873300.135,14.0,4.9,2,5.0,0.0,1,2658,2674,37.03,7.41
